Quest Name,Objective,Steps,Min Level,Max Level,First Step Position,Active Bots,Successful Bots,Unsuccessful Bots
Spawn Points,"Spawn Point (-25.7, 1.1, 65.6)",1,0,99,"(-25.7, 1.1, 65.6)",,,
Spawn Points,"Spawn Point (21.4, -2.6, -1.2)",1,0,99,"(21.4, -2.6, -1.2)",,,
Spawn Points,"Spawn Point (29.4, 0.3, 20.6)",1,0,99,"(29.4, 0.3, 20.6)",,,
Spawn Points,"Spawn Point (-19.8, 1.1, 66.6)",1,0,99,"(-19.8, 1.1, 66.6)",,,
Spawn Points,"Spawn Point (-24.5, 1.1, 66.6)",1,0,99,"(-24.5, 1.1, 66.6)",,,
Spawn Points,"Spawn Point (15.0, 0.1, 3.8)",1,0,99,"(15.0, 0.1, 3.8)",,,
Spawn Points,"Spawn Point (2.1, 1.1, 63.1)",1,0,99,"(2.1, 1.1, 63.1)",,,
Spawn Rush,"Spawn Point (60.4, 0.0, 19.3)",1,0,99,"(60.4, 0.0, 19.3)",,civiciam (Level 36),
3rd Floor Office Rush,"3rd Floor Office Rush: Objective #1",1,0,99,"(19.7, 8.2, 39.3)",Ilhsiek (Level 46),,
3rd Floor Office,"3rd Floor Office: Objective #1",1,0,99,"(19.7, 8.2, 39.3)",,CreamCheese (Level 21),Nootropix (Level 3)
1st Floor Office,"1st Floor Office: Objective #1",1,0,99,"(27.9, 1.1, 45.5)",,,
3rd Floor Bridge,"3rd Floor Bridge: Objective #1",1,0,99,"(35.0, 7.8, 31.5)",,,
Med Tent,"Med Tent: Objective #1",1,0,99,"(-16.2, 0.3, -25.8)",SSH_ (Level 37),civiciam (Level 36),,NORVINSK_EVANGELION (Level 72)
Forklift,"Forklift: Objective #1",1,0,99,"(68.7, 0.1, -38.2)",野猪 (Level 41),白闲者 (Level 37),,
Boilers,"Boilers: Objective #1",1,0,99,"(51.2, 4.3, 10.6)",Nightingale (Level 69),,
